term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,dti,delinq_2yrs,revol_util,revol_bal,total_acc,num_tl_90g_dpd_24m,dti_joint,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
 36 months,OWN,C,debt_consolidation,14.47%,FL,Current,Individual,10000,10+ years,62000,30.35,2,41%,12338,48,1,null, 36 ,10,41,43.76206961077844,30.35,No
 36 months,RENT,B,medical,12.98%,FL,Current,Individual,1500,7 years,45000,21.95,0,26.30%,1685,11,0,null, 36 ,7,26,43.76206961077844,21.95,No
 36 months,MORTGAGE,A,debt_consolidation,8.19%,NJ,Current,Individual,5000,< 1 year,60000,11.46,2,10.90%,1224,15,0,null, 36 ,1,10,43.76206961077844,11.46,No
 36 months,RENT,D,major_purchase,17.97%,NY,Current,Individual,8500,3 years,36000,20.07,0,7.30%,35904,5,0,null, 36 ,3,7,43.76206961077844,20.07,No
 60 months,MORTGAGE,C,credit_card,15.02%,AL,Current,Joint App,40000,7 years,120000,22.32,0,64.90%,31168,31,0,19.41, 60 ,7,64,43.76206961077844,22.32,No
 60 months,MORTGAGE,B,debt_consolidation,11.80%,CO,Current,Individual,40000,10+ years,130000,10.35,0,84.80%,32128,23,0,null, 60 ,10,84,43.76206961077844,10.35,No
 36 months,RENT,E,debt_consolidation,24.37%,MO,Current,Joint App,15000,n/a,30000,44.6,0,78.90%,14048,21,0,31.23, 36 ,,78,43.76206961077844,44.6,No
 60 months,RENT,D,debt_consolidation,22.35%,FL,Current,Individual,21600,10+ years,46000,36.19,0,73.40%,22174,11,0,null, 60 ,10,73,43.76206961077844,36.19,No
 36 months,MORTGAGE,A,credit_card,6.46%,WA,Current,Joint App,40000,4 years,78000,20.57,0,71.40%,39836,26,0,9.24, 36 ,4,71,43.76206961077844,20.57,No
 36 months,OWN,A,credit_card,6.46%,MA,Fully Paid,Individual,7200,n/a,89000,3.59,0,8.20%,16098,33,0,null, 36 ,,8,43.76206961077844,3.59,No
 60 months,RENT,E,debt_consolidation,26.31%,GA,Current,Individual,32275,10+ years,110000,32.82,0,80%,43058,32,0,null, 60 ,10,80,43.76206961077844,32.82,No
 36 months,OWN,A,credit_card,6.46%,ME,Current,Individual,22000,10+ years,100000,24.25,2,69.60%,73826,12,0,null, 36 ,10,69,43.76206961077844,24.25,No
 60 months,MORTGAGE,C,credit_card,15.02%,PA,Current,Individual,15000,5 years,185000,18.39,1,84.10%,18246,20,0,null, 60 ,5,84,43.76206961077844,18.39,No
 36 months,RENT,B,credit_card,12.98%,NY,Current,Individual,8500,1 year,52000,18.3,0,80.40%,17848,27,0,null, 36 ,1,80,43.76206961077844,18.3,No
 60 months,RENT,E,debt_consolidation,27.27%,OH,Current,Individual,10000,1 year,65000,16.65,8,8.50%,4686,23,6,null, 60 ,1,8,43.76206961077844,16.65,No
 36 months,RENT,A,credit_card,6.46%,OH,Current,Individual,12000,1 year,89000,12.38,1,52.20%,11798,19,0,null, 36 ,1,52,43.76206961077844,12.38,No
 36 months,OWN,A,home_improvement,7.56%,KY,Current,Joint App,15000,2 years,50000,15.7,0,15.50%,2764,14,0,14, 36 ,2,15,43.76206961077844,15.7,No
 36 months,MORTGAGE,A,debt_consolidation,7.56%,GA,Current,Individual,14000,9 years,65000,14.42,0,12.10%,7697,25,0,null, 36 ,9,12,43.76206961077844,14.42,No
 60 months,OWN,D,debt_consolidation,17.97%,OR,Current,Individual,10000,n/a,30000,17.84,1,23.30%,10461,16,1,null, 60 ,,23,43.76206961077844,17.84,No
 60 months,MORTGAGE,B,credit_card,12.73%,NY,Current,Joint App,35000,4 years,85000,32.41,0,18.90%,1381,18,0,20.17, 60 ,4,18,43.76206961077844,32.41,No
 36 months,MORTGAGE,B,credit_card,10.72%,CA,Current,Individual,35000,10+ years,318427.9,19.03,0,86%,38750,15,0,null, 36 ,10,86,43.76206961077844,19.03,No
 60 months,MORTGAGE,A,debt_consolidation,8.19%,TX,In Grace Period,Individual,15000,7 years,69000,19.43,0,28%,16776,21,0,null, 60 ,7,28,43.76206961077844,19.43,yes
 36 months,MORTGAGE,E,medical,26.31%,AZ,In Grace Period,Individual,10000,10+ years,93500,23.68,0,68.70%,24129,22,0,null, 36 ,10,68,43.76206961077844,23.68,yes
 36 months,MORTGAGE,B,debt_consolidation,10.33%,TX,Current,Individual,15400,4 years,265000,20.27,0,36.80%,75190,41,0,null, 36 ,4,36,43.76206961077844,20.27,No
 36 months,OWN,B,debt_consolidation,10.72%,FL,Current,Individual,15000,4 years,58000,4.55,1,32.10%,5459,11,1,null, 36 ,4,32,43.76206961077844,4.55,No
 36 months,OWN,A,debt_consolidation,6.46%,CA,Current,Individual,20000,3 years,175000,16.31,0,66.70%,23801,21,0,null, 36 ,3,66,43.76206961077844,16.31,No
 60 months,MORTGAGE,B,debt_consolidation,12.98%,CO,Current,Joint App,40000,10+ years,80000,46.43,0,49.80%,46497,31,0,34.01, 60 ,10,49,43.76206961077844,46.43,No
 36 months,MORTGAGE,A,credit_card,8.19%,WA,Current,Individual,16800,4 years,84000,11.66,1,57.80%,11280,16,0,null, 36 ,4,57,43.76206961077844,11.66,No
 36 months,MORTGAGE,C,debt_consolidation,16.91%,GA,Current,Individual,5300,3 years,26400,13.95,0,82.40%,8734,19,0,null, 36 ,3,82,43.76206961077844,13.95,No
 36 months,RENT,B,debt_consolidation,10.72%,FL,Current,Individual,25000,5 years,45000,14.96,0,49.20%,6833,19,0,null, 36 ,5,49,43.76206961077844,14.96,No
 60 months,MORTGAGE,C,other,13.56%,MD,Current,Individual,12000,n/a,78400,18,0,69.50%,2434,11,0,null, 60 ,,69,43.76206961077844,18,No
 60 months,MORTGAGE,B,credit_card,11.80%,NJ,Current,Individual,24000,5 years,130000,24.93,0,86%,72209,20,0,null, 60 ,5,86,43.76206961077844,24.93,No
 36 months,RENT,A,debt_consolidation,8.19%,CA,Current,Individual,25000,< 1 year,73000,3.19,0,16.60%,9865,16,0,null, 36 ,1,16,43.76206961077844,3.19,No
 60 months,RENT,C,credit_card,14.47%,DC,Current,Individual,15000,5 years,100000,15.29,0,13.10%,21171,61,0,null, 60 ,5,13,43.76206961077844,15.29,No
 60 months,RENT,C,debt_consolidation,13.56%,NJ,Fully Paid,Individual,33000,< 1 year,90000,14.6,0,37.70%,27305,13,0,null, 60 ,1,37,43.76206961077844,14.6,No
 36 months,RENT,A,debt_consolidation,8.81%,MA,Current,Individual,17000,3 years,75000,25.97,0,40.50%,22704,14,0,null, 36 ,3,40,43.76206961077844,25.97,No
 36 months,OWN,B,house,10.33%,OK,Current,Individual,9600,2 years,53760,19.46,0,36.70%,2861,15,0,null, 36 ,2,36,43.76206961077844,19.46,No
 36 months,MORTGAGE,A,home_improvement,7.56%,IL,Current,Individual,3000,10+ years,65000,19.68,1,38.60%,7609,13,1,null, 36 ,10,38,43.76206961077844,19.68,No
 36 months,MORTGAGE,D,debt_consolidation,20.89%,IL,Current,Individual,14000,< 1 year,100000,13.98,1,53.80%,39664,17,0,null, 36 ,1,53,43.76206961077844,13.98,No
 36 months,MORTGAGE,C,home_improvement,14.47%,IN,Current,Joint App,2500,3 years,38000,35.41,0,35.30%,5643,24,0,17.25, 36 ,3,35,43.76206961077844,35.41,No
 36 months,RENT,B,credit_card,10.72%,CA,Current,Individual,3500,n/a,20000,5.04,0,98.70%,2468,6,0,null, 36 ,,98,43.76206961077844,5.04,No
 36 months,MORTGAGE,C,debt_consolidation,15.02%,IN,Current,Individual,9000,n/a,30000,27.28,0,45%,9223,19,0,null, 36 ,,45,43.76206961077844,27.28,No
 36 months,RENT,A,credit_card,8.19%,CA,Current,Individual,3000,1 year,50000,11.83,0,28.50%,5754,7,0,null, 36 ,1,28,43.76206961077844,11.83,No
 36 months,MORTGAGE,C,debt_consolidation,13.56%,AL,Current,Joint App,24000,10+ years,62605.87,38.91,4,34.60%,8515,43,0,18.64, 36 ,10,34,43.76206961077844,38.91,No
 36 months,OWN,A,debt_consolidation,7.56%,VA,Current,Individual,22000,10+ years,96000,37.33,2,45.10%,13429,30,1,null, 36 ,10,45,43.76206961077844,37.33,No
 36 months,MORTGAGE,C,credit_card,15.02%,MA,Current,Individual,35000,10+ years,149000,12.05,0,23.50%,14354,34,0,null, 36 ,10,23,43.76206961077844,12.05,No
 60 months,RENT,C,debt_consolidation,15.02%,NJ,Current,Individual,17600,8 years,40000,23.44,0,44%,23514,9,0,null, 60 ,8,44,43.76206961077844,23.44,No
 36 months,RENT,A,credit_card,8.19%,GA,Current,Individual,5000,1 year,30000,24.08,0,40.70%,4072,5,0,null, 36 ,1,40,43.76206961077844,24.08,No
 36 months,MORTGAGE,B,house,11.31%,MA,Current,Individual,10000,9 years,71000,30.16,0,22.20%,8981,23,0,null, 36 ,9,22,43.76206961077844,30.16,No
 36 months,RENT,B,debt_consolidation,10.72%,RI,Current,Individual,10000,1 year,85000,10.07,0,23.80%,1407,9,0,null, 36 ,1,23,43.76206961077844,10.07,No
 36 months,RENT,A,credit_card,7.02%,OH,Current,Individual,3000,1 year,27000,16.13,0,71.20%,3559,5,0,null, 36 ,1,71,43.76206961077844,16.13,No
 60 months,OWN,C,debt_consolidation,16.14%,VT,Current,Joint App,24000,4 years,37000,65.1,0,75.70%,20287,24,0,39.74, 60 ,4,75,43.76206961077844,65.1,No
 36 months,OWN,A,debt_consolidation,6.46%,IL,Current,Individual,40000,10+ years,150000,8.8,0,15.90%,9728,17,0,null, 36 ,10,15,43.76206961077844,8.8,No
 60 months,MORTGAGE,B,credit_card,11.80%,VA,Current,Individual,30000,10+ years,250000,17.07,0,48.30%,57171,35,0,null, 60 ,10,48,43.76206961077844,17.07,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,SC,Current,Individual,11000,8 years,107000,15.04,0,82.40%,11866,32,0,null, 36 ,8,82,43.76206961077844,15.04,No
 36 months,MORTGAGE,C,credit_card,14.47%,ID,Current,Individual,5000,1 year,40320,32.47,0,44%,10155,11,0,null, 36 ,1,44,43.76206961077844,32.47,No
 36 months,MORTGAGE,C,debt_consolidation,16.91%,MD,Current,Individual,22000,10+ years,96000,23.14,2,29.90%,15390,36,0,null, 36 ,10,29,43.76206961077844,23.14,No
 36 months,RENT,A,debt_consolidation,7.56%,CA,Current,Individual,22000,1 year,49000,16.7,0,33%,24509,33,0,null, 36 ,1,33,43.76206961077844,16.7,No
 60 months,MORTGAGE,B,debt_consolidation,10.72%,MD,Current,Individual,20000,2 years,75000,7.63,0,9.50%,5388,11,0,null, 60 ,2,9,43.76206961077844,7.63,No
 36 months,MORTGAGE,E,other,25.34%,NY,Current,Individual,15000,10+ years,121000,27.69,0,72.40%,16370,15,0,null, 36 ,10,72,43.76206961077844,27.69,No
 36 months,MORTGAGE,E,major_purchase,26.31%,FL,Current,Individual,3000,5 years,46000,35.95,0,21.60%,7987,37,0,null, 36 ,5,21,43.76206961077844,35.95,No
 60 months,MORTGAGE,B,credit_card,12.98%,NY,Current,Individual,16000,10+ years,60000,8.64,1,48.10%,3220,21,0,null, 60 ,10,48,43.76206961077844,8.64,No
 60 months,MORTGAGE,C,debt_consolidation,15.02%,FL,Current,Individual,12000,10+ years,64000,26.19,1,20.80%,8801,27,0,null, 60 ,10,20,43.76206961077844,26.19,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,HI,Current,Individual,40000,10+ years,145000,30.37,0,72.70%,99872,47,0,null, 36 ,10,72,43.76206961077844,30.37,No
 36 months,OWN,A,debt_consolidation,6.46%,TX,Current,Individual,15000,10+ years,105000,6.33,0,8.70%,5277,21,0,null, 36 ,10,8,43.76206961077844,6.33,No
 36 months,RENT,C,debt_consolidation,16.14%,NC,Current,Individual,15000,10+ years,102000,23.69,0,63.70%,46991,27,0,null, 36 ,10,63,43.76206961077844,23.69,No
 36 months,MORTGAGE,B,credit_card,11.80%,TX,Current,Individual,10000,3 years,60000,33.24,1,30.20%,23718,54,1,null, 36 ,3,30,43.76206961077844,33.24,No
 36 months,RENT,A,credit_card,7.56%,IL,Current,Individual,8250,10+ years,70000,15.41,3,21.30%,8255,30,3,null, 36 ,10,21,43.76206961077844,15.41,No
 36 months,MORTGAGE,B,debt_consolidation,10.72%,LA,Current,Individual,16500,6 years,110000,22.42,0,57.70%,21397,33,0,null, 36 ,6,57,43.76206961077844,22.42,No
 36 months,MORTGAGE,D,debt_consolidation,19.92%,FL,Current,Individual,8000,10+ years,90000,21.83,0,54.30%,12218,16,0,null, 36 ,10,54,43.76206961077844,21.83,No
 60 months,MORTGAGE,B,credit_card,10.33%,NJ,Current,Joint App,16000,10+ years,70000,4.83,0,28.20%,13049,11,0,12.33, 60 ,10,28,43.76206961077844,4.83,No
 36 months,RENT,C,debt_consolidation,13.56%,FL,Current,Joint App,30000,3 years,90000,5.32,0,17.90%,6075,36,0,25.16, 36 ,3,17,43.76206961077844,5.32,No
 36 months,RENT,A,debt_consolidation,8.19%,GA,Current,Individual,28200,10+ years,185000,10.22,0,31.30%,12926,16,0,null, 36 ,10,31,43.76206961077844,10.22,No
 36 months,MORTGAGE,A,debt_consolidation,7.02%,AR,Current,Individual,21000,7 years,100000,16.03,0,28.60%,66816,29,0,null, 36 ,7,28,43.76206961077844,16.03,No
 36 months,MORTGAGE,B,debt_consolidation,11.31%,MD,Current,Individual,5000,1 year,110000,17.94,0,34.60%,21607,40,0,null, 36 ,1,34,43.76206961077844,17.94,No
 36 months,RENT,C,debt_consolidation,15.02%,PA,Current,Individual,20000,4 years,52000,11.65,1,52.40%,5760,6,0,null, 36 ,4,52,43.76206961077844,11.65,No
 36 months,OWN,D,debt_consolidation,17.97%,FL,Current,Individual,8800,10+ years,50000,28.59,0,22.60%,16058,41,0,null, 36 ,10,22,43.76206961077844,28.59,No
 60 months,MORTGAGE,E,debt_consolidation,27.27%,TX,Current,Individual,12950,10+ years,84000,35.84,0,38.80%,24320,28,0,null, 60 ,10,38,43.76206961077844,35.84,No
 36 months,MORTGAGE,C,debt_consolidation,15.02%,SC,Current,Individual,11000,1 year,70000,10.17,1,27.90%,11065,31,0,null, 36 ,1,27,43.76206961077844,10.17,No
 36 months,RENT,A,credit_card,8.19%,PA,Current,Individual,3500,3 years,30000,7.36,0,70.80%,3963,8,0,null, 36 ,3,70,43.76206961077844,7.36,No
 36 months,RENT,B,debt_consolidation,10.72%,CA,Current,Individual,16000,10+ years,35000,17.59,1,3.30%,256,12,1,null, 36 ,10,3,43.76206961077844,17.59,No
 36 months,RENT,B,debt_consolidation,11.80%,MD,Current,Individual,21000,< 1 year,137500,25.4,0,97.10%,53127,29,0,null, 36 ,1,97,43.76206961077844,25.4,No
 36 months,MORTGAGE,A,other,7.02%,CO,Current,Individual,10000,10+ years,65000,14.79,0,17.40%,7390,29,0,null, 36 ,10,17,43.76206961077844,14.79,No
 36 months,RENT,A,credit_card,8.81%,TX,Current,Individual,12000,4 years,30000,17.32,0,48.50%,13349,10,0,null, 36 ,4,48,43.76206961077844,17.32,No
 60 months,RENT,A,debt_consolidation,8.19%,TX,Current,Individual,11000,10+ years,72000,17.75,0,8.80%,14295,45,0,null, 60 ,10,8,43.76206961077844,17.75,No
 60 months,RENT,B,credit_card,11.31%,MA,Current,Individual,16000,7 years,113000,10.15,0,54.50%,14888,17,0,null, 60 ,7,54,43.76206961077844,10.15,No
 60 months,MORTGAGE,A,vacation,8.19%,OH,Current,Individual,40000,9 years,81874,17.47,1,0.60%,26323,52,0,null, 60 ,9,0,43.76206961077844,17.47,No
 36 months,RENT,A,credit_card,6.46%,FL,Current,Individual,10000,< 1 year,35000,21.26,0,41%,15848,13,0,null, 36 ,1,41,43.76206961077844,21.26,No
 36 months,RENT,A,credit_card,8.81%,CO,Current,Individual,1500,2 years,40000,25.8,0,18%,5907,17,0,null, 36 ,2,18,43.76206961077844,25.8,No
 36 months,RENT,B,debt_consolidation,11.31%,WA,Current,Individual,11000,10+ years,115000,12.5,0,62%,28169,23,0,null, 36 ,10,62,43.76206961077844,12.5,No
 60 months,RENT,B,credit_card,11.80%,MD,Current,Joint App,25000,10+ years,60320,24.83,0,44%,23512,29,0,22.97, 60 ,10,44,43.76206961077844,24.83,No
 36 months,MORTGAGE,B,home_improvement,10.33%,UT,Fully Paid,Individual,6000,5 years,103600,3.2,2,5.70%,351,27,2,null, 36 ,5,5,43.76206961077844,3.2,No
 36 months,MORTGAGE,D,credit_card,18.94%,NJ,Current,Individual,15000,10+ years,145000,30.35,0,85.40%,49803,36,0,null, 36 ,10,85,43.76206961077844,30.35,No
 36 months,RENT,C,debt_consolidation,14.47%,CA,Current,Individual,8400,1 year,52000,18.3,0,51.30%,9482,9,0,null, 36 ,1,51,43.76206961077844,18.3,No
 36 months,RENT,C,home_improvement,13.56%,CA,Current,Joint App,17650,10+ years,86400,24.43,0,34.30%,6350,16,0,21.84, 36 ,10,34,43.76206961077844,24.43,No
 36 months,RENT,A,credit_card,7.56%,NY,Current,Joint App,28000,5 years,60000,32,0,21.20%,3350,7,0,24.87, 36 ,5,21,43.76206961077844,32,No
 36 months,MORTGAGE,A,home_improvement,8.81%,CT,Current,Individual,20000,n/a,96000,9.23,0,9.10%,18601,57,0,null, 36 ,,9,43.76206961077844,9.23,No
 36 months,RENT,C,debt_consolidation,16.14%,TX,Current,Individual,5600,3 years,24911,6.99,0,63.20%,3537,8,0,null, 36 ,3,63,43.76206961077844,6.99,No
 60 months,MORTGAGE,C,home_improvement,16.91%,NH,Current,Individual,12000,4 years,60000,26.8,0,57.40%,17512,27,0,null, 60 ,4,57,43.76206961077844,26.8,No
 36 months,RENT,C,debt_consolidation,15.02%,CA,Current,Individual,20000,10+ years,70000,21.6,0,71.50%,34596,10,0,null, 36 ,10,71,43.76206961077844,21.6,No
 36 months,RENT,B,credit_card,10.33%,FL,Current,Individual,5000,1 year,40000,12.96,0,18.60%,4697,15,0,null, 36 ,1,18,43.76206961077844,12.96,No
 60 months,RENT,D,credit_card,17.97%,NJ,Current,Individual,15000,n/a,30000,26.92,0,42.60%,4005,11,0,null, 60 ,,42,43.76206961077844,26.92,No
 36 months,MORTGAGE,B,debt_consolidation,12.98%,NJ,Current,Individual,5000,< 1 year,72000,29,1,48.60%,46878,32,0,null, 36 ,1,48,43.76206961077844,29,No
 36 months,RENT,D,car,18.94%,CO,Current,Individual,7500,5 years,78000,2.23,0,38.70%,3904,8,0,null, 36 ,5,38,43.76206961077844,2.23,No
 36 months,RENT,A,debt_consolidation,6.46%,TX,Current,Individual,16000,4 years,82000,30.35,0,68.30%,37624,21,0,null, 36 ,4,68,43.76206961077844,30.35,No
 36 months,MORTGAGE,D,debt_consolidation,17.97%,NH,Current,Individual,30000,10+ years,190000,29.39,0,78.80%,51703,50,0,null, 36 ,10,78,43.76206961077844,29.39,No
 36 months,OWN,C,debt_consolidation,13.56%,TN,Current,Individual,26000,1 year,65000,23.04,1,31.70%,25842,33,0,null, 36 ,1,31,43.76206961077844,23.04,No
 36 months,OWN,C,debt_consolidation,13.56%,IL,Current,Individual,30000,10+ years,147000,18.2,0,79%,59679,23,0,null, 36 ,10,79,43.76206961077844,18.2,No
 36 months,MORTGAGE,B,debt_consolidation,11.80%,NC,Current,Individual,37450,10+ years,145000,23.29,0,40.90%,25582,76,0,null, 36 ,10,40,43.76206961077844,23.29,No
 60 months,MORTGAGE,C,credit_card,15.02%,TX,Current,Joint App,40000,1 year,150000,13.27,2,79.80%,28103,36,0,13.5, 60 ,1,79,43.76206961077844,13.27,No
 36 months,MORTGAGE,C,debt_consolidation,16.91%,IL,Current,Individual,8000,10+ years,47165,37.33,0,41.90%,20890,17,0,null, 36 ,10,41,43.76206961077844,37.33,No
 36 months,RENT,A,credit_card,6.11%,TX,Current,Individual,12000,10+ years,150000,10.99,0,30.10%,26179,20,0,null, 36 ,10,30,43.76206961077844,10.99,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,ME,Current,Individual,12000,2 years,36000,18.93,0,38.40%,9528,11,0,null, 36 ,2,38,43.76206961077844,18.93,No
 36 months,RENT,C,debt_consolidation,14.47%,FL,Current,Individual,6000,n/a,15000,16.16,1,52.20%,5532,22,1,null, 36 ,,52,43.76206961077844,16.16,No
 36 months,MORTGAGE,C,credit_card,13.56%,TX,Current,Joint App,16000,10+ years,48000,12.25,0,46.10%,11249,27,0,19.73, 36 ,10,46,43.76206961077844,12.25,No
 36 months,MORTGAGE,B,debt_consolidation,10.72%,OR,Current,Individual,18000,10+ years,75000,20.72,1,52%,12265,26,1,null, 36 ,10,52,43.76206961077844,20.72,No
 36 months,MORTGAGE,A,credit_card,6.46%,TX,In Grace Period,Individual,12500,1 year,105000,13.28,0,55.90%,10789,15,0,null, 36 ,1,55,43.76206961077844,13.28,yes
 36 months,RENT,D,debt_consolidation,18.94%,VT,Current,Individual,8400,5 years,28000,10.46,1,0%,0,4,0,null, 36 ,5,0,43.76206961077844,10.46,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,GA,Current,Individual,6500,6 years,46000,2.66,0,28.90%,3270,24,0,null, 36 ,6,28,43.76206961077844,2.66,No
 60 months,MORTGAGE,C,credit_card,13.56%,IL,Current,Individual,25000,6 years,89250,38.94,0,68%,42692,40,0,null, 60 ,6,68,43.76206961077844,38.94,No
 36 months,RENT,C,debt_consolidation,16.14%,VA,Current,Individual,10000,3 years,80000,0.68,0,36.80%,735,5,0,null, 36 ,3,36,43.76206961077844,0.68,No
 60 months,MORTGAGE,B,debt_consolidation,10.72%,IL,Current,Individual,26000,10+ years,130000,25.27,0,52.60%,34413,34,0,null, 60 ,10,52,43.76206961077844,25.27,No
 60 months,RENT,C,debt_consolidation,15.02%,CA,Current,Individual,30000,< 1 year,200000,6.12,0,43.50%,8169,11,0,null, 60 ,1,43,43.76206961077844,6.12,No
 36 months,RENT,C,credit_card,14.47%,CA,Current,Individual,35000,10+ years,142000,19.33,0,97.50%,31504,13,0,null, 36 ,10,97,43.76206961077844,19.33,No
 36 months,MORTGAGE,A,credit_card,6.46%,PA,Current,Individual,5500,10+ years,52000,19.82,0,9.10%,3163,15,0,null, 36 ,10,9,43.76206961077844,19.82,No
 36 months,RENT,A,credit_card,8.19%,NC,Current,Individual,31975,< 1 year,70000,17.13,0,44%,19445,14,0,null, 36 ,1,44,43.76206961077844,17.13,No
 60 months,RENT,C,debt_consolidation,16.91%,TX,Current,Individual,33200,2 years,205000,19.25,0,55.70%,40909,33,0,null, 60 ,2,55,43.76206961077844,19.25,No
 36 months,MORTGAGE,A,credit_card,8.81%,GA,Current,Joint App,10000,10+ years,70000,30.94,0,30.60%,25034,32,0,23.15, 36 ,10,30,43.76206961077844,30.94,No
 36 months,OWN,C,home_improvement,16.14%,GA,Current,Individual,10000,n/a,40000,5.76,0,57.80%,7049,6,0,null, 36 ,,57,43.76206961077844,5.76,No
 36 months,MORTGAGE,A,debt_consolidation,8.81%,AZ,Current,Individual,20000,n/a,69996,10.15,0,38.20%,4873,11,0,null, 36 ,,38,43.76206961077844,10.15,No
 36 months,MORTGAGE,D,other,20.89%,CA,Current,Individual,1200,5 years,78000,20.6,0,70.50%,4016,18,0,null, 36 ,5,70,43.76206961077844,20.6,No
 60 months,RENT,C,debt_consolidation,16.91%,HI,Current,Individual,27000,n/a,50000,35.45,0,66.40%,18714,13,0,null, 60 ,,66,43.76206961077844,35.45,No
 36 months,RENT,C,house,15.02%,SC,Current,Individual,10000,n/a,28600,3.02,0,26.70%,828,7,0,null, 36 ,,26,43.76206961077844,3.02,No
 60 months,MORTGAGE,C,debt_consolidation,16.91%,MI,Current,Joint App,40000,1 year,70000,12.77,0,68.40%,12795,20,0,18.37, 60 ,1,68,43.76206961077844,12.77,No
 36 months,OWN,B,other,12.98%,IL,Late (31-120 days),Individual,15000,10+ years,93000,13.25,0,40.50%,11057,22,0,null, 36 ,10,40,43.76206961077844,13.25,yes
 36 months,MORTGAGE,C,credit_card,14.47%,TX,Current,Joint App,17000,10+ years,115000,18.88,1,50.60%,12811,38,0,19.67, 36 ,10,50,43.76206961077844,18.88,No
 36 months,RENT,D,other,18.94%,CA,Current,Individual,15000,3 years,35000,21.54,1,25.50%,2649,9,0,null, 36 ,3,25,43.76206961077844,21.54,No
 60 months,RENT,B,debt_consolidation,12.98%,CO,Current,Individual,15000,3 years,52000,22.87,0,15%,2182,13,0,null, 60 ,3,15,43.76206961077844,22.87,No
 36 months,RENT,B,debt_consolidation,10.33%,WA,Current,Individual,10000,8 years,43000,11.75,0,27%,16787,26,0,null, 36 ,8,27,43.76206961077844,11.75,No
 36 months,MORTGAGE,E,other,25.34%,NY,Current,Joint App,5350,3 years,38250,12.3,0,73.40%,1834,12,0,7.15, 36 ,3,73,43.76206961077844,12.3,No
 60 months,RENT,B,credit_card,11.31%,MI,Current,Individual,15000,2 years,92000,9.03,0,45.10%,14033,9,0,null, 60 ,2,45,43.76206961077844,9.03,No
 36 months,MORTGAGE,E,home_improvement,25.34%,IN,Fully Paid,Joint App,4000,1 year,55000,25.77,2,89.80%,9156,33,0,23.53, 36 ,1,89,43.76206961077844,25.77,No
 36 months,MORTGAGE,D,debt_consolidation,18.94%,NY,Current,Joint App,5000,10+ years,60000,21.8,0,66.30%,17756,28,0,20.74, 36 ,10,66,43.76206961077844,21.8,No
 36 months,MORTGAGE,C,home_improvement,16.14%,NJ,Current,Individual,1000,n/a,63000,22.59,0,98.90%,19786,14,0,null, 36 ,,98,43.76206961077844,22.59,No
 36 months,OWN,B,other,12.98%,AK,Current,Individual,10000,3 years,50000,12.59,0,17.60%,6004,27,0,null, 36 ,3,17,43.76206961077844,12.59,No
 36 months,RENT,A,debt_consolidation,8.81%,AR,Current,Individual,20000,< 1 year,120000,25.09,0,56.70%,9758,30,0,null, 36 ,1,56,43.76206961077844,25.09,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,UT,Current,Individual,6000,1 year,57000,16.93,0,27.80%,16207,38,0,null, 36 ,1,27,43.76206961077844,16.93,No
 60 months,RENT,D,credit_card,19.92%,NJ,Current,Joint App,10700,10+ years,750000,16,0,75.50%,81779,36,0,20.03, 60 ,10,75,43.76206961077844,16,No
 36 months,MORTGAGE,B,credit_card,11.31%,TX,Current,Individual,11000,2 years,50000,25.05,0,37.20%,16573,18,0,null, 36 ,2,37,43.76206961077844,25.05,No
 60 months,MORTGAGE,B,credit_card,12.98%,IL,Current,Individual,15000,10+ years,72000,26.42,0,46.40%,10944,25,0,null, 60 ,10,46,43.76206961077844,26.42,No
 36 months,RENT,A,debt_consolidation,7.84%,NC,Current,Individual,10000,< 1 year,43000,14.21,0,22%,14494,23,0,null, 36 ,1,22,43.76206961077844,14.21,No
 36 months,MORTGAGE,B,other,11.80%,OH,Current,Individual,6000,n/a,138000,8.06,0,8.50%,1207,36,0,null, 36 ,,8,43.76206961077844,8.06,No
 36 months,MORTGAGE,A,credit_card,8.19%,NV,Current,Individual,15000,6 years,119000,12.34,0,72.90%,19964,73,0,null, 36 ,6,72,43.76206961077844,12.34,No
 36 months,RENT,B,other,11.31%,AZ,Current,Individual,4000,10+ years,85000,15.43,1,60.20%,9935,23,0,null, 36 ,10,60,43.76206961077844,15.43,No
 60 months,RENT,C,debt_consolidation,14.47%,TX,Current,Joint App,30000,< 1 year,38955,53.27,0,55.20%,10878,25,0,33.14, 60 ,1,55,43.76206961077844,53.27,No
 60 months,MORTGAGE,B,debt_consolidation,12.98%,AR,Current,Individual,26000,10+ years,190000,29.56,0,67.40%,26684,56,0,null, 60 ,10,67,43.76206961077844,29.56,No
 36 months,OWN,E,debt_consolidation,26.31%,FL,Current,Individual,10000,4 years,23000,31.05,0,27.60%,13833,27,0,null, 36 ,4,27,43.76206961077844,31.05,No
